,DGS10,DGS3MO,UNRATE,BAA
Mean (Normal),5.729756521739131,3.651535181236674,6.000521739130435,7.859286956521739
Mean (Recession),7.722,5.27313725490196,6.690588235294116,10.485764705882353
Std (Normal),2.9588823832718765,2.8781816637357625,1.6540889275597352,2.7615483864461323
Std (Recession),3.719126177452107,4.769852194857228,1.9707759850356603,3.3756337593570374
Difference,1.9922434782608693,1.621602073665286,0.6900664961636807,2.626477749360614
T-stat,-5.590855456443326,-3.5348191596044733,-3.4976264916699837,-7.937941710365923
P-value,3.3132396798145483e-08,0.00044460598836367225,0.00050101917548003,8.88707152923075e-15
