DATE,TS_10y3m,TS_10y2y,TS_5y3m,TS_5y2y,TS_2y3m,TS_30y10y,TS_30y5y,Invert_10y3m,Invert_10y2y,Invert_5y3m,CreditSpread,CreditSpread_D12,Unemp_D12,Unemp_MA3,Sahm,INDPRO_Growth_12m,FEDFUNDS_D12,Interact_Invert_Credit,Interact_Invert_Unemp,Recession_12m
1991-02-28,1.7999999999999998,0.9799999999999995,1.4400000000000004,0.6200000000000001,0.8200000000000003,0.16999999999999993,0.5299999999999994,0,0,0,1.2400000000000002,0.3200000000000003,1.2999999999999998,6.433333333333334,1,-2.502447942040442,-1.9900000000000002,0.0,0.0,1
1991-03-31,2.130000000000001,1.0300000000000011,1.8100000000000005,0.7100000000000009,1.0999999999999996,0.1899999999999995,0.5099999999999998,0,0,0,1.1600000000000001,0.3199999999999985,1.5999999999999996,6.6000000000000005,1,-3.5113519256988135,-2.1599999999999993,0.0,0.0,0
1991-04-30,2.34,1.2199999999999998,1.9500000000000002,0.8300000000000001,1.12,0.17999999999999972,0.5699999999999994,0,0,0,1.08,0.2400000000000002,1.2999999999999998,6.7,1,-3.045174824501906,-2.3499999999999996,0.0,0.0,0
1991-05-31,2.3500000000000005,1.3800000000000008,1.9800000000000004,1.0100000000000007,0.9699999999999998,0.1999999999999993,0.5699999999999994,0,0,0,1.0,0.0600000000000005,1.5,6.800000000000001,1,-2.3612263793409416,-2.3999999999999995,0.0,0.0,0
1991-06-30,2.5300000000000002,1.3399999999999999,2.1900000000000004,1.0,1.1900000000000004,0.17999999999999972,0.5199999999999996,0,0,0,0.9500000000000011,-0.009999999999999787,1.7000000000000002,6.833333333333335,1,-1.9068367228226024,-2.389999999999999,0.0,0.0,0
1991-07-31,2.499999999999999,1.3899999999999997,2.0699999999999994,0.96,1.1099999999999994,0.16000000000000014,0.5899999999999999,0,0,0,0.8900000000000006,-0.06999999999999851,1.2999999999999998,6.866666666666667,1,-1.4740555684149226,-2.33,0.0,0.0,0
1991-08-31,2.33,1.46,1.8499999999999996,0.9799999999999995,0.8700000000000001,0.2400000000000002,0.7200000000000006,0,0,0,0.9000000000000004,-0.09999999999999964,1.2000000000000002,6.866666666666667,1,-1.8156397923347,-2.4700000000000006,0.0,0.0,0
1991-09-30,2.21,1.4799999999999995,1.6600000000000001,0.9299999999999997,0.7300000000000004,0.35000000000000053,0.9000000000000004,0,0,0,0.9000000000000004,-0.17999999999999972,1.0,6.866666666666667,1,-1.0288802062213054,-2.749999999999999,0.0,0.0,0
1991-10-31,2.51,1.7699999999999996,1.7800000000000002,1.04,0.7400000000000002,0.4400000000000004,1.17,0,0,0,0.9399999999999995,-0.27000000000000135,1.0999999999999996,6.9333333333333345,1,-0.5208224995319921,-2.8999999999999995,0.0,0.0,0
1991-11-30,2.91,2.0,2.0100000000000007,1.1000000000000005,0.9100000000000001,0.5600000000000005,1.46,0,0,0,0.9699999999999989,-0.34999999999999964,0.7999999999999998,6.966666666666668,1,0.6025843561388466,-3.0,0.0,0.0,0
1991-12-31,2.75,1.9400000000000004,1.9699999999999998,1.1600000000000001,0.8099999999999996,0.7000000000000002,1.4800000000000004,0,0,0,0.9499999999999993,-0.4299999999999997,1.0,7.1000000000000005,1,0.8443672140776792,-2.88,0.0,0.0,0
1992-01-31,3.3699999999999997,2.1999999999999993,2.5000000000000004,1.33,1.1700000000000004,0.45999999999999996,1.3299999999999992,0,0,0,0.9300000000000015,-0.47999999999999865,0.8999999999999995,7.2,1,0.651723358904599,-2.88,0.0,0.0,0
1992-02-29,3.2399999999999993,2.0,2.55,1.3100000000000005,1.2399999999999993,0.5300000000000002,1.2199999999999998,0,0,0,0.9400000000000013,-0.29999999999999893,0.8000000000000007,7.333333333333333,1,2.111687750561919,-2.1900000000000004,0.0,0.0,0
1992-03-31,3.3899999999999997,1.9400000000000004,2.79,1.3400000000000007,1.4499999999999993,0.41999999999999993,1.0199999999999996,0,0,0,0.9000000000000004,-0.2599999999999998,0.6000000000000005,7.366666666666667,1,3.554056317612897,-2.14,0.0,0.0,0
1992-04-30,3.8200000000000003,2.1500000000000004,3.12,1.4500000000000002,1.67,0.4500000000000002,1.1500000000000004,0,0,0,0.8800000000000008,-0.1999999999999993,0.7000000000000002,7.4,1,4.081723802528936,-2.18,0.0,0.0,0
1992-05-31,3.54,2.1399999999999997,2.8200000000000003,1.42,1.4000000000000004,0.5099999999999998,1.2299999999999995,0,0,0,0.8500000000000014,-0.14999999999999858,0.6999999999999993,7.466666666666668,1,3.387068509483493,-1.9600000000000004,0.0,0.0,0
1992-06-30,3.4899999999999998,2.3099999999999996,2.64,1.46,1.1800000000000002,0.6500000000000004,1.5,0,0,0,0.8300000000000001,-0.120000000000001,0.8999999999999995,7.6000000000000005,1,2.6173247074802397,-2.1400000000000006,0.0,0.0,0
1992-07-31,3.4699999999999998,2.3,2.59,1.42,1.17,0.7400000000000002,1.62,0,0,0,0.7699999999999996,-0.120000000000001,0.9000000000000004,7.7,1,3.264252650271149,-2.5700000000000003,0.0,0.0,0
1992-08-31,3.39,2.4699999999999998,2.3699999999999997,1.4499999999999993,0.9200000000000004,0.7999999999999998,1.8200000000000003,0,0,0,0.7000000000000002,-0.20000000000000018,0.6999999999999993,7.7,1,2.675084117811921,-2.3600000000000003,0.0,0.0,0
